Brand;Serie;Color;Location;Fuel;Gear;CEKIS;Year;KM;Galeriden;CC;HP;GARANTI;Price
Audi;A5;-;İstanbul;Benzin;Yarı;Onden;2017; 63 ;0;1395;150;1;515000
Mercedes;-;-;Kastamonu;Dizel;Otomatik;Arkadan;2018; 84 ;0;1598;136;1;505000
Volkswagen;Passat;-;Trabzon;Dizel;Yarı;Onden;2017; 43 ;0;1598;120;1;500000
BMW;3;-;İstanbul;Benzin;Otomatik;Arkadan;2016; 33 ;0;1598;170;0;500000
Mercedes;-;-;Gaziantep;Dizel;Otomatik;Arkadan;2015; 65 ;0;1598;136;0;495000
Audi;A6;-;Mersin;Dizel;Otomatik;Onden;2014; 160 ;0;1968;177;0;490000
BMW;5;-;İstanbul;Benzin;Otomatik;Arkadan;2016; 30 ;0;1592;170;0;490000
BMW;3;-;İstanbul;Benzin;Otomatik;Arkadan;2016; 55 ;0;1598;170;0;488000
Volkswagen;Passat;-;İstanbul;Dizel;Yarı;Onden;2018; 5 ;0;1598;120;1;488000
Mercedes;-;-;İzmir;Dizel;Otomatik;Arkadan;2017; 64 ;0;1598;136;1;487000
Audi;A4;-;Mersin;Benzin;Yarı;4ceker;2018; 50 ;0;1984;252;1;487000
Mercedes;-;-;İstanbul;Dizel;Otomatik;Arkadan;2017; 40 ;0;1598;136;1;483000
BMW;5;-;Kocaeli;Benzin;Otomatik;Arkadan;2015; 104 ;0;1592;170;0;480000
Audi;A6;-;İstanbul;Dizel;Yarı;Onden;2015; 160 ;0;1968;190;0;478500
Mercedes;-;-;Samsun;Dizel;Otomatik;Arkadan;2016; 90 ;0;1598;136;0;460000
Mercedes;-;-;İstanbul;Benzin;Otomatik;Arkadan;2016; 60 ;0;1595;156;0;460000
Audi;A4;-;Gaziantep;Dizel;Yarı;4ceker;2016; 124 ;0;1968;190;0;459000
Volkswagen;Passat;-;Mersin;Dizel;Yarı;Onden;2019; 15 ;0;1598;120;1;458000
Mercedes;-;-;İstanbul;Benzin;Otomatik;Arkadan;2017; 20 ;0;1595;156;1;455000
BMW;5;-;Antalya;Dizel;Otomatik;Arkadan;2012; 109 ;0;1995;184;0;452000
Mercedes;-;-;Isparta;Benzin;Otomatik;Arkadan;2016; 96 ;0;1595;156;0;450000
Audi;A4;-;Antalya;Benzin;Yarı;Onden;2015; 59 ;0;1395;150;0;450000
Mercedes;-;-;Kırıkkale;Benzin;Yarı;Onden;2019; 13 ;0;1332;163;1;450000
BMW;4;-;İstanbul;Dizel;Otomatik;Arkadan;2015; 113 ;0;1995;190;0;449950
Audi;A4;-;Şanlıurfa;Benzin;Yarı;Onden;2017; 88 ;0;1395;150;1;449500
Volkswagen;Passat;-;Ankara;Benzin;Yarı;Onden;2020; 4 ;0;1498;150;1;447000
BMW;3;-;İstanbul;Benzin;Otomatik;Arkadan;2015; 86 ;0;1598;170;0;445000
Mercedes;-;-;Konya;Dizel;Yarı;Onden;2019; 17 ;0;1461;116;1;445000
Mercedes;-;-;İstanbul;Dizel;Otomatik;Arkadan;2017; 65 ;0;1598;136;1;440000
Mercedes;-;-;Ankara;Benzin;Otomatik;Arkadan;2015; 43 ;0;1595;156;0;440000
Volkswagen;Passat;-;Antalya;Dizel;Yarı;Onden;2017; 89 ;0;1598;120;1;439000
Mercedes;-;-;Adana;Benzin;Otomatik;Arkadan;2015; 73 ;0;1595;156;0;437000
Audi;A6;-;Şanlıurfa;Dizel;Otomatik;Onden;2013; 164 ;0;1968;177;0;436000
BMW;5;-;Malatya;Benzin;Otomatik;Arkadan;2014; 105 ;0;1592;170;0;435000
BMW;3;-;Antalya;Benzin;Otomatik;Arkadan;2016; 79 ;0;1598;170;0;430000
Mercedes;-;-;Antalya;Dizel;Otomatik;Arkadan;2017; 47 ;0;1598;136;1;429400
Audi;A6;-;İstanbul;Dizel;Otomatik;Onden;2014; 180 ;0;1968;177;0;425000
Mercedes;-;-;Sivas;Benzin;Otomatik;Arkadan;2013; 166 ;0;1991;211;0;425000
Mercedes;-;-;Gaziantep;Benzin;Otomatik;Arkadan;2016; 105 ;0;1595;156;0;425000
Audi;A4;-;İstanbul;Benzin;Yarı;Onden;2017; 91 ;0;1395;150;1;425000
BMW;3;-;İstanbul;Benzin;Otomatik;Arkadan;2016; 78 ;0;1598;170;0;425000
Mercedes;-;-;Osmaniye;Benzin;Otomatik;Arkadan;2014; 117 ;0;1595;156;0;420000
Mercedes;-;-;Ankara;Dizel;Otomatik;Onden;2016; 52 ;0;1462;109;0;420000
Volkswagen;Passat;-;Antalya;Dizel;Yarı;Onden;2019; 24 ;0;1598;120;1;419500
Mercedes;-;-;İstanbul;Dizel;Otomatik;Arkadan;2016; 52 ;0;1598;136;0;415000
Mercedes;-;-;İstanbul;Dizel;Otomatik;Arkadan;2015; 115 ;0;1598;136;0;411500
Mercedes;-;-;Bursa;Dizel;Otomatik;Arkadan;2016; 96 ;0;1598;136;0;408500
Mercedes;-;-;Samsun;Dizel;Otomatik;Arkadan;2015; 144 ;0;1598;136;0;407100
BMW;3;-;İzmir;Benzin;Otomatik;Arkadan;2016; 75 ;0;1598;170;0;406850
Volkswagen;Passat;-;Ordu;Dizel;Yarı;Onden;2018; 100 ;0;1598;120;1;405000
Volkswagen;Passat;-;İzmir;Dizel;Yarı;Onden;2019; 194 ;0;1598;120;1;400000
BMW;3;-;Ankara;Dizel;Otomatik;Arkadan;2011; 193 ;0;1995;184;0;400000
Audi;S;-;İzmir;Benzin;Yarı;4ceker;2015; 142 ;0;1984;285;0;400000
Audi;A5;-;İstanbul;Dizel;Otomatik;Onden;2013; 195 ;0;1968;177;0;399000
BMW;5;-;Aydın;Benzin;Otomatik;Arkadan;2015; 140 ;0;1592;170;0;398900
Peugeot;508;-;Kilis;Dizel;Otomatik;Onden;2019; 11 ;0;1499;130;1;398000
BMW;5;-;Muş;Dizel;Otomatik;4ceker;2016; 210 ;0;1995;218;0;395000
BMW;5;-;Bursa;Dizel;Otomatik;4ceker;2012; 171 ;0;1995;218;0;395000
Mercedes;-;-;Bursa;Dizel;Otomatik;Arkadan;2015; 140 ;0;1598;136;0;395000
Mercedes;-;-;Bursa;Dizel;Otomatik;Arkadan;2015; 97 ;0;1598;136;0;395000
Mercedes;-;-;İzmir;Benzin;Otomatik;Arkadan;2014; 89 ;0;1595;156;0;395000
Mercedes;-;-;Antalya;Benzin;Otomatik;Arkadan;2014; 88 ;0;1595;156;0;395000
Mercedes;-;-;İzmir;Benzin;Otomatik;Onden;2015; 68 ;0;1595;156;0;395000
BMW;5;-;Balıkesir;Dizel;Otomatik;4ceker;2012; 181 ;0;1995;218;0;393000
Volkswagen;Passat;-;Ankara;Benzin;Yarı;Onden;2018; 122 ;0;1395;125;1;390000
Mercedes;-;-;İstanbul;Dizel;Yarı;Onden;2019; 9 ;0;1461;116;1;389000
BMW;5;-;Sakarya;Dizel;Otomatik;Arkadan;2013; 178 ;0;1995;184;0;388500
Volkswagen;Passat;-;Hatay;Dizel;Yarı;Onden;2019; 15 ;0;1598;120;1;388000
BMW;5;-;İzmir;Benzin;Otomatik;Arkadan;2014; 150 ;0;1592;170;0;386500
Mercedes;-;-;İstanbul;Benzin;Otomatik;Arkadan;2015; 171 ;0;1595;156;0;385500
Mercedes;-;-;İstanbul;Dizel;Otomatik;Onden;2016; 48 ;0;1461;109;0;385000
Mercedes;-;-;Ankara;Dizel;Otomatik;4ceker;2011; 222 ;0;2987;265;0;383000
BMW;5;-;İzmir;Dizel;Otomatik;4ceker;2015; 265 ;0;1995;218;0;380000
Mercedes;-;-;Denizli;Benzin;Otomatik;Arkadan;2014; 206 ;0;1595;156;0;380000
Mercedes;-;-;İstanbul;Dizel;Otomatik;Onden;2016; 112 ;0;1461;109;0;380000
BMW;3;-;İstanbul;Benzin;Otomatik;Arkadan;2017; 39 ;0;1499;136;1;380000
Volkswagen;Passat;-;Muş;Dizel;Duz;Onden;2018; 3 ;0;1598;120;1;380000
Skoda;SuperB;-;İstanbul;Dizel;Yarı;Onden;2018; 56 ;0;1598;120;1;378000
Volkswagen;Passat;-;Şanlıurfa;Dizel;Yarı;Onden;2016; 129 ;0;1598;120;0;375000
Peugeot;508;-;İstanbul;Dizel;Otomatik;Onden;2019; 4 ;0;1499;130;1;372500
Mercedes;-;-;Sakarya;Benzin;Otomatik;Arkadan;2013; 140 ;0;1595;156;0;371000
BMW;5;-;Van;Dizel;Otomatik;Arkadan;2013; 190 ;0;1995;184;0;368000
Mercedes;-;-;Hatay;Benzin;Otomatik;Onden;2015; 71 ;0;1595;156;0;367000
BMW;3;-;Batman;Dizel;Otomatik;Arkadan;2015; 172 ;0;1995;190;0;365000
Mercedes;-;-;Aksaray;Dizel;Otomatik;Arkadan;2015; 147 ;0;1598;136;0;365000
BMW;3;-;Yozgat;Benzin;Otomatik;Arkadan;2017; 90 ;0;1499;136;1;365000
BMW;3;-;Antalya;Benzin;Otomatik;Arkadan;2014; 89 ;0;1598;170;0;365000
Mercedes;-;-;İstanbul;Dizel;Yarı;Onden;2017; 37 ;0;1461;109;1;365000
Volkswagen;Passat;-;Konya;Dizel;Yarı;Onden;2017; 100 ;0;1598;120;1;360000
Audi;A4;-;Hatay;Benzin;Yarı;Onden;2016; 92 ;0;1395;150;0;360000
BMW;2;-;İstanbul;Benzin;Otomatik;Arkadan;2015; 60 ;0;1499;136;0;360000
BMW;3;-;Antalya;Dizel;Otomatik;Arkadan;2013; 189 ;0;1995;184;0;355000
Audi;A4;-;Ankara;Benzin;Yarı;Onden;2017; 112 ;0;1395;150;1;355000
BMW;5;-;Giresun;Dizel;Otomatik;Arkadan;2011; 198 ;0;1995;184;0;354000
BMW;3;-;Ankara;Benzin;Otomatik;Arkadan;2014; 123 ;0;1598;170;0;352500
Volkswagen;Passat;-;Antalya;Benzin;Yarı;Onden;2020; 25 ;0;1498;150;1;351000
Mercedes;-;-;Adana;Dizel;Otomatik;Onden;2014; 128 ;0;1462;109;0;350000
BMW;3;-;İstanbul;Benzin;Otomatik;Arkadan;2014; 110 ;0;1598;170;0;350000
Mercedes;-;-;Ankara;Dizel;Otomatik;Arkadan;2015; 85 ;0;1598;136;0;350000
Audi;A3;-;Uşak;Dizel;Yarı;Onden;2017; 55 ;0;1598;110;1;350000
Ford;Mondeo;-;İstanbul;Benzin;Otomatik;Onden;2020; 20 ;0;1498;160;1;350000
Audi;A3;-;Antalya;Benzin;Yarı;Onden;2020; 15 ;0;1498;150;1;350000
BMW;1;-;İstanbul;Benzin;Otomatik;Arkadan;2019; 6 ;0;1499;136;1;350000
Mercedes;-;-;İstanbul;Benzin;Otomatik;Arkadan;2014; 135 ;0;1595;156;0;349000
Volkswagen;Passat;-;Adana;Dizel;Duz;Onden;2016; 80 ;0;1598;120;0;349000
Volkswagen;Passat;-;Bursa;Dizel;Yarı;Onden;2018; 40 ;0;1598;120;1;348000
Volkswagen;Passat;-;Antalya;Dizel;Yarı;Onden;2020; 25 ;0;1598;120;1;348000
Mercedes;-;-;İstanbul;Dizel;Otomatik;Onden;2016; 75 ;0;1461;109;0;345000
Mercedes;-;-;İstanbul;Benzin;Otomatik;Onden;2013; 43 ;0;1595;156;0;345000
BMW;5;-;Ankara;Benzin;Otomatik;Arkadan;2013; 119 ;0;1592;170;0;343000
Volkswagen;Passat;-;İstanbul;Dizel;Yarı;Onden;2018; 33 ;0;1598;120;1;342000
Volkswagen;Passat;-;İstanbul;Dizel;Yarı;Onden;2019; 9 ;0;1598;120;1;342000
Volkswagen;Passat;-;İstanbul;Dizel;Yarı;Onden;2017; 85 ;0;1598;120;1;340000
Volkswagen;Passat;-;Adana;Benzin;Duz;Onden;2018; 35 ;0;1395;125;1;340000
Volkswagen;Passat;-;Gaziantep;Dizel;Yarı;Onden;2016; 72 ;0;1598;120;0;338000
Mercedes;-;-;İstanbul;Dizel;Yarı;Onden;2015; 56 ;0;1461;109;0;338000
BMW;5;-;Kilis;Dizel;Otomatik;Arkadan;2011; 240 ;0;1995;184;0;335000
BMW;3;-;Eskişehir;Benzin;Otomatik;Arkadan;2014; 89 ;0;1598;170;0;333000
Skoda;SuperB;-;Konya;Dizel;Yarı;Onden;2016; 54 ;0;1598;120;0;333000
BMW;3;-;İzmir;Benzin;Otomatik;Arkadan;2013; 144 ;0;1598;170;0;332000
Volkswagen;Passat;-;İzmir;Dizel;Duz;Onden;2018; 23 ;0;1598;120;1;332000
Volkswagen;Passat;-;İstanbul;Dizel;Yarı;Onden;2016; 118 ;0;1598;120;0;330000
Mercedes;-;-;Kocaeli;Dizel;Otomatik;Onden;2015; 118 ;0;1462;109;0;330000
BMW;3;-;Bursa;Benzin;Otomatik;Arkadan;2014; 111 ;0;1598;170;0;330000
Volkswagen;Passat;-;İstanbul;Dizel;Yarı;Onden;2015; 86 ;0;1598;120;0;330000
Opel;Insignia;-;Gaziantep;Dizel;Otomatik;Onden;2016; 67 ;0;1598;136;0;330000
Volkswagen;Passat;-;Adıyaman;Dizel;Yarı;Onden;2017; 50 ;0;1598;120;1;330000
Volkswagen;Passat;-;Kocaeli;Dizel;Yarı;Onden;2017; 50 ;0;1598;120;1;329000
Volkswagen;Passat;-;Ankara;Dizel;Duz;Onden;2018; 4 ;0;1598;120;1;327500
Audi;A4;-;Kayseri;Dizel;Otomatik;Onden;2014; 166 ;0;1968;150;0;326500
Skoda;SuperB;-;İstanbul;Dizel;Yarı;Onden;2018; 36 ;0;1598;120;1;326000
BMW;5;-;Kayseri;Dizel;Otomatik;Arkadan;2011; 254 ;0;1995;184;0;325000
Volkswagen;Passat;-;Mersin;Dizel;Yarı;Onden;2015; 104 ;0;1598;105;0;325000
Audi;A4;-;İstanbul;Dizel;Yarı;Onden;2015; 94 ;0;1968;190;0;325000
BMW;3;-;Antalya;Dizel;Otomatik;Arkadan;2012; 189 ;0;1995;184;0;320000
Skoda;Octavia;-;Mersin;Dizel;Yarı;Onden;2019; 15 ;0;1598;115;1;320000
Volkswagen;Passat;-;İstanbul;Benzin;Yarı;Onden;2019; 7 ;0;1498;150;1;320000
Volkswagen;Passat;-;Ankara;Benzin;Yarı;Onden;2018; 12 ;0;1395;125;1;319000
BMW;5;-;Kahramanmaraş;Dizel;Otomatik;Arkadan;2011; 178 ;0;1995;184;0;318000
Mercedes;-;-;Adana;Benzin;Otomatik;Arkadan;2014; 161 ;0;1595;156;0;318000
Mercedes;-;-;İstanbul;Benzin;Otomatik;Arkadan;2013; 95 ;0;1595;156;0;317750
BMW;3;-;İstanbul;Dizel;Otomatik;Arkadan;2012; 147 ;0;1995;184;0;317000
Ford;Focus;-;İstanbul;Benzin;Yarı;Onden;2015; 143 ;0;1499;120;0;316000
BMW;5;-;Diyarbakır;Dizel;Otomatik;Arkadan;2011; 230 ;0;1995;184;0;315000
Volkswagen;Passat;-;İstanbul;Benzin;Duz;Onden;2015; 87 ;0;1395;150;0;315000
Volkswagen;Passat;-;Sinop;Dizel;Yarı;Onden;2016; 70 ;0;1598;120;0;315000
Volkswagen;Passat;-;Hakkari;Benzin;Duz;Onden;2018; 33 ;0;1395;125;1;315000
Opel;Insignia;-;Ankara;Dizel;Otomatik;Onden;2020; 14 ;0;1598;136;1;315000
Opel;Insignia;-;İstanbul;Dizel;Otomatik;Onden;2019; 9 ;0;1598;136;1;315000
Skoda;SuperB;-;Samsun;Dizel;Yarı;Onden;2017; 53 ;0;1598;120;1;314250
Volkswagen;Golf;-;Aksaray;Dizel;Yarı;Onden;2017; 38 ;0;1598;115;1;313000
Opel;Astra;-;Giresun;Dizel;Otomatik;Onden;2020; 14 ;0;1496;122;1;312000
Volkswagen;Passat;-;Hatay;Dizel;Yarı;Onden;2015; 150 ;0;1598;120;0;310000
Volkswagen;Passat;-;Kocaeli;Dizel;Yarı;Onden;2016; 90 ;0;1598;120;0;310000
Audi;A3;-;Trabzon;Dizel;Yarı;Onden;2016; 56 ;0;1598;110;0;310000
Volkswagen;Golf;-;Ankara;Dizel;Yarı;Onden;2019; 41 ;0;1598;115;1;310000
Audi;A3;-;Mersin;Dizel;Yarı;Onden;2015; 40 ;0;1598;110;0;310000
Renault;Talisman;-;İstanbul;Dizel;Yarı;Onden;2016; 31 ;0;1598;130;0;310000
Volkswagen;Golf;-;Mersin;Dizel;Yarı;Onden;2019; 30 ;0;1598;115;1;310000
Volkswagen;Golf;-;İstanbul;Benzin;Yarı;Onden;2020; 1 ;0;1498;150;1;310000
Mercedes;-;-;Isparta;Benzin;Otomatik;Arkadan;2014; 108 ;0;1597;156;0;309000
BMW;3;-;Antalya;Benzin;Otomatik;Arkadan;2014; 145 ;0;1598;136;0;308500
Volkswagen;Passat;-;Van;Dizel;Duz;Onden;2016; 78 ;0;1598;120;0;307500
BMW;3;-;Konya;Dizel;Otomatik;Arkadan;2013; 185 ;0;1995;184;0;307000
Volkswagen;Passat;-;Tokat;Benzin;Duz;Onden;2018; 50 ;0;1395;125;1;307000
BMW;3;-;Şanlıurfa;Dizel;Otomatik;Arkadan;2013; 228 ;0;1995;177;0;305000
Audi;A6;-;İstanbul;Dizel;Otomatik;Onden;2011; 143 ;0;1968;170;0;305000
BMW;3;-;İstanbul;Dizel;Otomatik;Arkadan;2012; 130 ;0;1995;177;0;305000
Volkswagen;Passat;-;Konya;Benzin;Yarı;Onden;2015; 68 ;0;1395;150;0;305000
Volkswagen;Passat;-;Sivas;Dizel;Yarı;Onden;2015; 34 ;0;1598;120;0;305000
Honda;Civic;-;Mersin;LPG;Otomatik;Onden;2019; 4 ;0;1597;125;1;305000
Audi;A3;-;Kocaeli;Dizel;Yarı;Onden;2015; 81 ;0;1598;110;0;303000
Volkswagen;Passat;-;Bilecik;Dizel;Yarı;Onden;2017; 122 ;0;1598;120;1;302000
Volkswagen;Passat;-;İstanbul;Dizel;Yarı;Onden;2017; 71 ;0;1598;120;1;302000
Volkswagen;Passat;-;İzmir;Dizel;Yarı;Onden;2018; 49 ;0;1598;120;1;302000
Volkswagen;Passat;-;Ankara;Dizel;Yarı;Onden;2015; 134 ;0;1968;150;0;300000
BMW;1;-;İzmir;Benzin;Otomatik;Arkadan;2017; 65 ;0;1499;136;1;300000
Audi;A3;-;Diyarbakır;Dizel;Yarı;Onden;2017; 52 ;0;1598;116;0;300000
Seat;Leon;-;İstanbul;Dizel;Yarı;Onden;2018; 30 ;0;1598;115;1;300000
Alfa;Romeo;-;Tekirdağ;Benzin;Otomatik;Arkadan;2020; 5 ;0;1742;240;1;300000
Renault;Megane;-;Hatay;Dizel;Yarı;Onden;2020; 4 ;0;1461;115;1;300000
Renault;Megane;-;Karabük;Benzin;Yarı;Onden;2020;0;0;1333;140;1;300000
Opel;Insignia;-;İstanbul;Dizel;Otomatik;Onden;2016; 53 ;0;1598;136;0;299900
Honda;Civic;-;Tokat;LPG;Otomatik;Onden;2020; 5 ;0;1597;125;1;299500
Renault;Megane;-;İstanbul;Benzin;Yarı;Onden;2020; 25 ;0;1332;140;1;299000
Mercedes;-;-;Sakarya;Benzin;Otomatik;Arkadan;2010; 323 ;0;1796;204;0;298000
BMW;3;-;İstanbul;Dizel;Otomatik;Arkadan;2013; 150 ;0;1995;184;0;298000
Volkswagen;Passat;-;Bitlis;Dizel;Yarı;Onden;2015; 125 ;0;1598;120;0;298000
Volkswagen;Passat;-;Ankara;Dizel;Yarı;Onden;2015; 123 ;0;1598;120;0;298000
Volkswagen;Passat;-;Trabzon;Dizel;Yarı;Onden;2017; 122 ;0;1598;120;1;298000
BMW;2;-;İstanbul;Dizel;Otomatik;Onden;2016; 82 ;0;1496;116;0;298000
BMW;1;-;İstanbul;Benzin;Otomatik;Arkadan;2016; 11 ;0;1499;136;0;298000
BMW;1;-;Yalova;Dizel;Otomatik;Arkadan;2016; 84 ;0;1496;116;0;297500
Renault;Megane;-;Ankara;Benzin;Yarı;Onden;2020;0;0;1332;140;1;297000
Renault;Megane;-;Ankara;Benzin;Yarı;Onden;2020; 4 ;0;1332;140;1;295000
Honda;Civic;-;Antalya;LPG;Otomatik;Onden;2020; 1 ;0;1597;125;1;295000
Renault;Megane;-;Ankara;Benzin;Yarı;Onden;2020;0;0;1332;140;1;295000
Volkswagen;Passat;-;Mersin;Benzin;Yarı;Onden;2015; 79 ;0;1395;150;0;294000
Volkswagen;Passat;-;Ankara;Benzin;Yarı;Onden;2016; 74 ;0;1395;150;0;293000
Seat;Leon;-;Ankara;Dizel;Yarı;Onden;2018; 13 ;0;1598;115;1;293000
Alfa;Romeo;-;Ankara;Benzin;Otomatik;Arkadan;2020; 3 ;0;1742;240;1;292929
BMW;1;-;İstanbul;Dizel;Otomatik;Arkadan;2017; 116 ;0;1496;116;1;292000
Volkswagen;Passat;-;Mardin;Dizel;Yarı;Onden;2016; 89 ;0;1598;120;0;292000
Skoda;SuperB;-;Sivas;Dizel;Yarı;Onden;2017; 35 ;0;1598;120;1;292000
Volkswagen;Golf;-;Konya;Dizel;Yarı;Onden;2018; 39 ;0;1598;115;1;291000
Renault;Megane;-;Bursa;Benzin;Yarı;Onden;2020;0;0;1332;140;1;290500
Mercedes;-;-;İstanbul;Dizel;Otomatik;Arkadan;2015; 228 ;0;1598;136;0;290000
Volkswagen;Passat;-;Denizli;Dizel;Yarı;Onden;2015; 128 ;0;1598;120;0;290000
BMW;3;-;Kocaeli;Benzin;Otomatik;Arkadan;2013; 85 ;0;1598;136;0;290000
Renault;Megane;-;Bursa;Dizel;Yarı;Onden;2020;0;0;1461;115;1;290000
Mercedes;-;-;İstanbul;LPG;Otomatik;Arkadan;2011; 65 ;0;1796;156;0;289350
Skoda;SuperB;-;Bursa;Dizel;Yarı;Onden;2017; 47 ;0;1598;120;1;289000
Volkswagen;Passat;-;Zonguldak;Benzin;Yarı;Onden;2018; 26 ;0;1395;125;1;289000
Volkswagen;Passat;-;Edirne;Benzin;Duz;Onden;2017; 22 ;0;1395;125;1;289000
Seat;Leon;-;Şanlıurfa;Benzin;Yarı;Onden;2020; 25 ;0;1498;150;1;288900
Volkswagen;Passat;-;Siirt;Dizel;Yarı;Onden;2015; 195 ;0;1598;120;0;287000
Audi;A3;-;Diyarbakır;Dizel;Yarı;Onden;2014; 145 ;0;1598;110;0;287000
Volkswagen;Passat;-;İstanbul;Dizel;Yarı;Onden;2016; 130 ;0;1598;120;0;287000
Volkswagen;Passat;-;Niğde;Dizel;Duz;Onden;2015; 118 ;0;1598;120;0;287000
Opel;Insignia;-;Aydın;Dizel;Otomatik;Onden;2016; 34 ;0;1598;136;0;287000
Volkswagen;Golf;-;Mersin;Dizel;Yarı;Onden;2015; 42 ;0;1598;105;0;286500
Seat;Leon;-;Trabzon;Benzin;Yarı;Onden;2020; 5 ;0;1498;150;1;286500
BMW;3;-;Malatya;Dizel;Otomatik;Arkadan;2012; 190 ;0;1995;184;0;286000
Volkswagen;Golf;-;İstanbul;Dizel;Duz;Onden;2018; 24 ;0;1598;110;1;285500
Audi;A4;-;İstanbul;Dizel;Otomatik;Onden;2015; 185 ;0;1968;177;0;285000
Audi;A3;-;İzmir;Dizel;Yarı;Onden;2015; 149 ;0;1598;110;0;285000
Volkswagen;Golf;-;Diyarbakır;Dizel;Yarı;Onden;2017; 102 ;0;1598;115;1;285000
Volkswagen;Passat;-;Gaziantep;Dizel;Yarı;Onden;2018; 96 ;0;1598;120;1;285000
Skoda;Octavia;-;Kayseri;Dizel;Yarı;Onden;2015; 79 ;0;1598;110;0;285000
Volkswagen;Passat;-;İstanbul;Dizel;Duz;Onden;2016; 74 ;0;1598;120;0;285000
Audi;A3;-;Adana;Dizel;Yarı;Onden;2015; 59 ;0;1598;110;0;285000
Honda;Civic;-;Aydın;Dizel;Otomatik;Onden;2018; 58 ;0;1597;120;1;285000
Volkswagen;Passat;-;Zonguldak;Dizel;Duz;Onden;2017; 30 ;0;1598;120;1;285000
Honda;Civic;-;Konya;Benzin;Otomatik;Onden;2018; 29 ;0;1498;182;1;285000
Honda;Civic;-;Eskişehir;LPG;Otomatik;Onden;2018; 7 ;0;1597;125;1;285000
Volkswagen;Passat;-;İstanbul;Dizel;Yarı;Onden;2015; 83 ;0;1598;120;0;284900
Volkswagen;Passat;-;Batman;Dizel;Duz;Onden;2015; 46 ;0;1598;120;0;284000
Honda;Civic;-;Adana;LPG;Otomatik;Onden;2020; 7 ;0;1597;125;1;284000
BMW;1;-;İstanbul;Dizel;Otomatik;Arkadan;2016; 73 ;0;1496;116;0;283000
Mercedes;-;-;Rize;Dizel;Yarı;Onden;2015; 126 ;0;1461;109;0;282000
Volkswagen;Passat;-;Adıyaman;Dizel;Yarı;Onden;2014; 94 ;0;1598;120;0;282000
Mercedes;-;-;Antalya;Benzin;Otomatik;Arkadan;2010; 85 ;0;1597;156;0;281000
BMW;3;-;Afyonkarahisar;Dizel;Otomatik;Arkadan;2012; 175 ;0;1995;184;0;280000
Volkswagen;Passat;-;Bursa;Dizel;Yarı;Onden;2015; 128 ;0;1598;120;0;280000
Opel;Insignia;-;Tokat;Dizel;Otomatik;Onden;2015; 65 ;0;1598;136;0;280000
Opel;Insignia;-;Van;Dizel;Otomatik;Onden;2017; 129 ;0;1598;136;1;279999
Volkswagen;Golf;-;İstanbul;Dizel;Yarı;Onden;2015; 42 ;0;1598;110;0;279000
Opel;Astra;-;Adana;Dizel;Otomatik;Onden;2017; 35 ;0;1598;136;1;279000
Volkswagen;Passat;-;Ankara;Dizel;Yarı;Onden;2015; 75 ;0;1598;120;0;278500
BMW;1;-;Zonguldak;Benzin;Otomatik;Arkadan;2016; 91 ;0;1499;136;0;278000
